"","2025-09-09","2025-09-13","2025-09-17","2025-09-20","2025-09-23","2025-09-27","2025-10-01","2025-10-04","2025-10-07","2025-10-11","2025-10-15","2025-10-18","2025-10-25"
"ENC","v USJ","v DC","@ EC","v AMC","","v MC","@ RU","v SJM","@ NU","@ NEC","v LU","@ RRU","v CSC"
"RRU","","v AMC","@ LU","v RU","@ DC","v NEC","v USJ","@ NU","v CSC","@ EC","v MC","v ENC","@ SJM"
"LU","@ MC","v RU","v RRU","@ NU","@ EC","@ CSC","v DC","@ NEC","","@ SJM","@ ENC","v USJ","v AMC"
"CSC","v SJM","v EC","@ RU","@ USJ","v NEC","v LU","","v MC","@ RRU","v DC","@ AMC","v NU","@ ENC"
"AMC","v DC","@ RRU","v MC","@ ENC","v RU","v EC","@ NU","@ USJ","v SJM","","v CSC","v NEC","@ LU"
"NU","@ NEC","","@ DC","v LU","@ MC","@ SJM","v AMC","v RRU","v ENC","@ USJ","@ EC","@ CSC","v RU"
"RU","v EC","@ LU","v CSC","@ RRU","@ AMC","v USJ","v ENC","","v DC","@ MC","v NEC","@ SJM","@ NU"
"EC","@ RU","@ CSC","v ENC","@ SJM","v LU","@ AMC","v NEC","@ DC","@ USJ","v RRU","v NU","","@ MC"
"USJ","@ ENC","@ MC","v NEC","v CSC","v SJM","@ RU","@ RRU","v AMC","v EC","v NU","","@ LU","v DC"
"SJM","@ CSC","v NEC","","v EC","@ USJ","v NU","@ MC","@ ENC","@ AMC","v LU","@ DC","v RU","v RRU"
"DC","@ AMC","@ ENC","v NU","@ NEC","v RRU","","@ LU","v EC","@ RU","@ CSC","v SJM","v MC","@ USJ"
"NEC","v NU","@ SJM","@ USJ","v DC","@ CSC","@ RRU","@ EC","v LU","v MC","v ENC","@ RU","@ AMC",""
"MC","v LU","v USJ","@ AMC","","v NU","@ ENC","v SJM","@ CSC","@ NEC","v RU","@ RRU","@ DC","v EC"
