"","2025-09-10","2025-09-13","2025-09-16","2025-09-20","2025-09-24","2025-09-27","2025-09-30","2025-10-04","2025-10-08","2025-10-11","2025-10-14","2025-10-18","2025-10-22","2025-10-25","2025-10-28"
"ENC","@ USJ","v NEC","","@ NU","@ SJM","@ RRU","v MC","v EC","v LU","@ CSC","v SMU","@ AMC","v RU","@ DC",""
"RRU","v EC","@ SMU","v RU","","","v ENC","v AMC","@ CSC","@ SJM","v LU","@ DC","v USJ","v MC","@ NEC","v NU"
"LU","@ AMC","","v NU","@ RU","v MC","v DC","v EC","@ NEC","@ ENC","@ RRU","","v SMU","@ SJM","v CSC","v USJ"
"CSC","v NEC","v USJ","","@ EC","@ SMU","@ SJM","v DC","v RRU","@ MC","v ENC","","v RU","@ NU","@ LU","v AMC"
"AMC","v LU","@ NU","@ MC","v USJ","@ NEC","@ RU","@ RRU","@ DC","v SMU","","v SJM","v ENC","","@ EC","@ CSC"
"NU","v DC","v AMC","@ LU","v ENC","@ RU","@ USJ","v SJM","v MC","","v NEC","","v EC","v CSC","@ SMU","@ RRU"
"RU","v SMU","@ SJM","@ RRU","v LU","v NU","v AMC","","@ USJ","v DC","@ EC","","@ CSC","@ ENC","@ MC","v NEC"
"EC","@ RRU","","v SMU","v CSC","","v MC","@ LU","@ ENC","@ NEC","v RU","@ USJ","@ NU","v DC","v AMC","v SJM"
"USJ","v ENC","@ CSC","v SJM","@ AMC","@ DC","v NU","v NEC","v RU","","v MC","v EC","@ RRU","v SMU","","@ LU"
"SJM","v MC","v RU","@ USJ","v NEC","v ENC","v CSC","@ NU","@ SMU","v RRU","","@ AMC","v DC","v LU","","@ EC"
"DC","@ NU","@ MC","v NEC","@ SMU","v USJ","@ LU","@ CSC","v AMC","@ RU","","v RRU","@ SJM","@ EC","v ENC",""
"NEC","@ CSC","@ ENC","@ DC","@ SJM","v AMC","v SMU","@ USJ","v LU","v EC","@ NU","@ MC","","","v RRU","@ RU"
"MC","@ SJM","v DC","v AMC","","@ LU","@ EC","@ ENC","@ NU","v CSC","@ USJ","v NEC","","@ RRU","v RU","v SMU"
"SMU","@ RU","v RRU","@ EC","v DC","v CSC","@ NEC","","v SJM","@ AMC","","@ ENC","@ LU","@ USJ","v NU","@ MC"
